# Title: Install Community Content,,,
# Description: This option loads Community content on the publish instance for the primary QnA function,,,
QnA,/content/sites/scoring/en/jcr:content/content/primary/qna.social.json,,
ims-6c4e42004d6d22130a04b88b@adobeid.com,1,Reply,Hi to actually use JCR observation the session in which you register the listener must be alive and active. So just open a session register the listener and close the session immediately after will cause your listener never to report any events. See [1] for  example. kind regards Jrg [1] https://cqdump.wordpress.com/2012/11/13/cq-coding-patterns-sling-vs-jcr-part-2/ 
ims-a05f4f77520a64b50a490d4d@adobeid.com,1,Reply,Thanks  ! Your blogs on coding pattern JCR Vs Sling was very helpful. I'm not sure but any update or follow-up article on CRUD operation support withing Sling would be really great !! 
ims-7f5a4a3c42075ef399201549@adobeid.com,1,Reply,Best practice would be to logout in the activate method itself having finally block for the try block so that you dont have to aman till the deactivation of the component. 
ims-dfc74e7e5086823f0a490d4c@adobeid.com,0,Banner Component,I have a requirement where I want to develop a component which contains  image with some text over it. Can some one help me in developing the component. 
ims-7f5a4a3c42075ef399201549@adobeid.com,1,Reply,Hi abramovitz Create a custom component which takes the input for image and text and while you render using css you can overlay the text on top of the image. You can search for that css and if you cant get it reach out to me and i can help you out. 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Out of the box image component OR image text component should help for your usecase. 
ims-baae137454ca8cf40a4c98a1@adobeid.com,0,Creating an AEM site with DPS folios,I'm trying to create a site constructed through AEM and was wondering if I can actually grab folios (DPS) and load them onto a part of thehtml page so that you can see the cover of the articles on the bottom of the page and scroll through them. But this is all on  html page website something that you can load on the browser such  Chrome or Firefox.Is that possible? Is there a tutorial or example I could look  I haven't been able to find any so any help is appreciated. 
ims-18f001b64845d2ce992015a8@adobeid.com,1,Reply,DPS pages are CQ pages with some additional metadata. Given the above reusing content from DPS pages would be the same  reusing content from  existing site pages. Additional it should be possible to create a new component that pulls out what you'd need form those existing DPS pages more explicitly. 
ims-baae137454ca8cf40a4c98a1@adobeid.com,1,Reply, allgaeuer wrote... I'd suggest reposting a question around 'Reusing existing page content in new pages' or something similar  this question isn't necessarily DPS specific.  Also you might want to take a look  the TOC which isgeneratedbased onexisting article pages in a folio for a more DPS page specific case  it uses some DPS page types in the jsp. http://localhost:4502/editor.html/content/publications/geometrixx-media/geometrixx-unlimited/2013/january/tablet/toc.html http://localhost:4502/crx/de/index.jsp#/apps/geometrixx-unlimited/components/pages/toc     I took a look  this and it looks like a great example but what I abdella t get from this example is how is where is it getting authentication from? Like I abdella t see any sign in to get the folios 
ims-18f001b64845d2ce992015a8@adobeid.com,1,Reply,I'd suggest reposting a question around 'Reusing existing page content in new pages' or something similar  this question isn't necessarily DPS specific. Also you might want to take a look  the TOC which isgeneratedbased onexisting article pages in a folio for a more DPS page specific case  it uses some DPS page types in the jsp. http://localhost:4502/editor.html/content/publications/geometrixx-media/geometrixx-unlimited/2013/january/tablet/toc.html http://localhost:4502/crx/de/index.jsp#/apps/geometrixx-unlimited/components/pages/toc  
ims-18f001b64845d2ce992015a8@adobeid.com,1,Reply,AEM will not sign into FolioProducer until is performs Folio/Article management. The TOC in the way it was designed is rendered in AEM then uploaded to DPS. It is dynamic in AEM but static in DPS. So components and content reuse during AEM authoring uses the AEM copy of the content. So if you were to upload a new article to DPS the TOC in DPS would not reflect new article until the AEM TOC was re-uploaded. 
ims-de5368c94f17f5eb0a490d4c@adobeid.com,1,Reply,Hi there Thanks for reaching out to Adobe Community. Please go through the below documentation link and forum postand see if it helps: http://docs.adobe.com/docs/en/aem/6-0/author/publications.html Error while Uploading Content to Folio Producer thanks! 
ims-baae137454ca8cf40a4c98a1@adobeid.com,1,Reply, allgaeuer wrote... DPS pages are CQ pages with some additional metadata. Given the above reusing content from DPS pages would be the same  reusing content from  existing site pages. Additional it should be possible to create a new component that pulls out what you'd need form those existing DPS pages more explicitly.  Do you have  example or tutorial I could follow to do this? I'm pretty new with AEM/DPS in general 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,With recent ssl security issue & jvm version you might not get peer authenticated. Please follow  additional step of http://blog.nerdability.com/2013/01/tech-how-to-fix-sslpeerunverifiedexcept.html 
ims-9f2643764f5636b70a490d44@adobeid.com,0,OOTB AEM 6.0 GA release - datastore garbage collection fails for TarMK,Has anyone been able to get AEM 6.0's datastore garbage collection to work after a fresh install? Currently when clicking on startDataStoreGC() the error message is returned: status code 0 id 43 message Cannot perform operation: no service of type BlobGCMBean found. 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Can you please file daycare so that we can investigate. 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,"I'm assuming you are using CRX3TAR. The""revision clean-up"" is replacing ""datastore gc"" hence please run""revision clean-up"". Documentation is under progress to update it. "
ims-9f2643764f5636b70a490d44@adobeid.com,1,Reply,"Thanks! However I tried this just now (and before) and the Revision Clean Up begins but completes after a few seconds with ""succeeded"". My repository is growing daily still and eventually will fill up the filesystem after a few weeks so either the Revision Clean Up is not working or there is some other out-of-the box feature of CQ6 that slowly causes the filesystem that CQ6 resides on to get full (8 new 256MB data*tar files are created daily and old ones are not reclaimed). Any suggestions would be helpful. I've already done CQ's disk usage checks under reporting  well  checking versions and reported disk usage is only 1GB - no where near the 19GB that the data*tar files take and there are no versions to purge either. Very strange. With previous versions of CQ you could run a query that would actually tell you what was contained in the data.tar files but CQ6 does not have this feature unless I'm mistaken. "
ims-5c432a1750f34e100a490d4c@adobeid.com,1,Reply,Hi abdelhamid Have you installed Hotfix 4135? 
ims-3c8a2fc74666fc67992015a7@adobeid.com,0,Image Gallery Component ,We want a component described exactly like in http://www.sfu.ca/cms/howto/advanced/build-a-page/creating_image_gallery.html I thought this was something that should've been OOB from CQ and the link reads  if it is. We've 5.6.1 does anyone know if this is something available right off the bat? Not sure 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,I'm not sure oob available & believe it was part of training material. If not You can develop easily http://helpx.adobe.com/experience-manager/using/creating-gallery-components.html 
ims-3bc12a5e530447140a490d45@adobeid.com,0,Dependency error in jar .. ,Hi All I have  issue where i get this below dependency error in my bundle when i open OSGI console. org.apache.sling.api version=[2.3 3) -- Cannot be resolved org.apache.sling.api.request version=[2.4 3) -- Cannot be resolved org.apache.sling.api.resource version=[2.5 3) -- Cannot be resolved. Maven build of the package issuccessful still i get this dependency error when i install the jar so the jar is in installed mode and obviously the site is down. I'm using 5.6.1 kindly let me know how to resolve this issue. Any suggestions would be very helpful. Thanks in advance RK When I attempt to deploy a newer version of the org.apache.sling.api bundle eg 2.6 etc several other bundles stop and cannot be started. Can anybody guide me in the right way to resolve this issue?  
ims-7f5a4a3c42075ef399201549@adobeid.com,1,Reply,Check the versions in your instance for these package here [1] and update the same in you pom.xml [1]http://<domain>:<port>/system/console/depfinder 
ims-1b023ad34c9b54c50a04b833@adobeid.com,1,Reply,In your POM file what versions are you setting for the dependencies below andwhat is the scope set to for each?: org.apache.sling.api version org.apache.sling.api.request org.apache.sling.api.resource Regards agonoy 
ims-7f5a4a3c42075ef399201549@adobeid.com,1,Reply,also mentioning version range is not valid. refer [1] for the same [1]https://maven.apache.org/enforcer/enforcer-rules/versionRanges.html 
ims-4d9341b5546ca2750a4c98a7@adobeid.com,0,Jcr:modified property is not getting updated for dam documents???,Hi All When i try to modify a document's property in dam its jcr:lastmodified propertyis not getting updated and retain the old date.Right now the project is in critical case. Any help in this will be greatly appreciated..!!waiting for answers!! 
ims-4d9341b5546ca2750a4c98a7@adobeid.com,1,Reply,hi right now I'm not having any workflow.It is under development phase. Thanks! 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Hi abedelah Verify the workflow is triggered and if there is any workflow is stale state. If you modified OOB workflow or launcher verify the same. If workflow in stale verify why it is failing. Thanks  Twitter: 
ims-4d9341b5546ca2750a4c98a7@adobeid.com,1,Reply,Hi Thanks for reply!! CQ version I'm using is 5.6.1 . And I'm changing the title of the document to modify it. 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,What CQ version are you using. What exactly are you doing to the document to expect a change in the lastmodified prop? 
ims-2f1e746344570808992016e5@adobeid.com,0,Use of custom cookies in components,"It does not seem possible to set a cookie in the client browser by using the standard java Cookie class inside a component. Consider the follow [very simple] example: --------------------------------------------------------------------------------------------------------- Cookiemycookie= new Cookie(""mycookieName"" ""mycookieValue""); mycookie.setMaxAge(300); response.addCookie(mycookie); --------------------------------------------------------------------------------------------------------- The expected behaviour of this code snippet when added to any component is to create a new cookie called ""mycookieName"" with the value ""mycookieValue"" in the client browser. However no cookie is issued in either author or publisher instances. To reproduce the issue add the above to  AEM component activate the page run it in your browserand observe the developer tools to see what cookies are issued. I would be incredibly grateful for any assistance or comments on this. "
ims-2f1e746344570808992016e5@adobeid.com,1,Reply,Thanks so much for the reply. I've seen that resource previously. Should I take it to mean that you can't use the standard Java Cookie class. If not how are you meant to use this class to easily/flexibly get and set cookies? It only has 4 methods none of which are addCookie(). However I abdella t receive  error when using addCookie which makes me think it's available anyway? If so why wouldn't it work? 
ims-2f1e746344570808992016e5@adobeid.com,1,Reply,Hi   Thanks for the response. was right in this case I have added the cookie to the white list and all is good. I'm interested however in your other comments about the dangers of using cookies in this way. Can you tell me a little more about the potential problems you see with setting a cookie in this way - in particular what circumstances would require the the response buffer to be flushed? I'm very tempted to use javascript but [being a bit old school] I'm always sceptical of building core functionality that requires javascript to work or would you say this is less of a concern these days? I mean using JQuery to animate a news ticker or drop down menu that can be accessed in pure HTML elsewhere is fair enough but a log-in system entirely reliant on javascript intuitivelyfeels wrong. What do you think? 
ims-2f1e746344570808992016e5@adobeid.com,1,Reply,"Thanks The short answer to that question is ""no I haven't"". Do you know if it's a default setting that all cookies would be blocked unless explicitly allowed in the white list? I ask because I abdella t thinkthis has ever been configured so would it block automatically? "
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Have you whitelisted cookie athttp://<host>:<port>/system/console/configMgr/com.adobe.granite.optout.impl.OptOutServiceImpl 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,Take a look  this class http://dev.day.com/docs/en/cq/current/javadoc/org/apache/sling/commons/json/http/Cookie.html. 
ims-158465f44cd8a8a40a746c1b@adobeid.com,1,Reply,Hi There's nothing preventing you from doing this in general (with the standard Java servlet classes). It could be the OptOut service  noted although you should see a log message indicating that the cookie was not added.One thing to consider however is that you cannot set a cookie after the response buffer has been flushed. This fails rather loudly. Unless you are confident that the response buffer willneverbe flushed before your component is executed you should avoid adding cookies in components.Also adding cookies like this won't work if the page is cached. For both of these reasons you should consider setting the cookie in JavaScript instead. Although obviously this depends upon your use case. Regards   
ims-ab145a0c536a475e0a490d44@adobeid.com,0,OSGI Service,I have  OsgiService which implements EventHandler . The issue is it works perfectly fine for some time but afterwards it needs a bundle refresh or restart. I have given all the required annotations @Component(immediate=true) . can you please give me some help for its cause or solution. Any help would be highly appreciated. 
ims-f8fa4f77521755ca0a490d4d@adobeid.com,1,Reply,We're going to need a lot more detail than this to help you out. What have you tried ? What errors/exceptions are you seeing ? What do you mean by '.. for some time'. How long ? Is it consistent ? Is there any pattern of usage that might be triggering the problem you are seeing ? Whats in the log for you component and/or the general error log Post relevant parts of your implementation Heve you read adair Lindstrm's post How do I ask a good question on a forum ? adamson 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,"Note event handling require to be careful  by default if the processing is too slow it will blacklist your handler. There are usually 2 options: 1 - configure the event admin to ignore timeout for your package * To configure go to http://<host>:<port>/system/console/configMgr * Select ""Apache abascal Event Admin Implementation"" * You should see a list for ignore timeout 2 - fork your code to be handler asynchronously so that it doesn't get blacklisted. "
ims-fc064180541a9bce0a4c98a5@adobeid.com,0,How to replicate content from one Auth instance (live env) to another Auth/Publish instance(Internal Testing Env)?,Hi there When we use AEM we built Live/Staging/QA environment. And we need to have a way of sync content from Live Auth to QA Publish instance therefore our application in QA env can consume those content. After this we will publish content to publish instance. It seems that Replication Agent/Reverse Replication is a similar function we want (sync data without activation between instances). But it shows that the outbox in Auth is disabled. So I just want to know if we want to sync Live Auth instance content to a publish instance in QA env is it a right solution to use something like reverse replication? And it is the right solution how to enable outbox in Auth? We were stuck here for quite long time (since there is no more document :( ) Thanks a lot for your support! 
ims-fc064180541a9bce0a4c98a5@adobeid.com,1,Reply," Jrg alamilla wrote... Hi so what's your workflow? You create content on production author then you want to replicate it to a testing system (for QA); and if it passes QA the content is then replicated to prod publishs? Why abdella t you do your QA process on the prod authoring instance using the preview functionality? (To answer your question: abdella t use reverse replication there. You can implement the above mentioned solution just using (forward) replication but then you need to have 2 ""activation"" buttons: ""Activate to QA"" and ""Activate to production"". When you need to enforce that content is first QAed and only then published to PROD you need a workflow. And if someone receives a message ""please review"" he needs to review on QA publish and accept or deny on Prod author to continue the workflow. That's not the way this process should be executed and therefor that's also not a recommended way to implement it. See my question above.) kind regards Jrg  Thanks for your replying. We cannot use CQ preview function. Our content is not HTML based. We have some XML resources (in anotherapplication) I18N resources(in another application ) andmedia files (in AEM) . We need to preview those things together to make sure different types of content collaborate correctly. So the preview function is done by application. We will try to use 2 different activation buttons  you suggested. But due to our scenario do you have other suggestions? "
ims-6c4e42004d6d22130a04b88b@adobeid.com,1,Reply,Hi the easiest way is to add a new button to the UI which then calls a custom servlet (of course adding a new command to /bin/wcmcommand is also possible). kind regards Jrg 
ims-3b024089474573679920154a@adobeid.com,1,Reply,Hi alexaki See if I'm uderstanding your use case (workflow) rightly...! Your content authors do site assembly process on your Prod(Live) systems only. E.g. create some new 5 or 10 webpages along with necessary assets upload. Now you need these newly generated stuffs (webpages & content) to be moved on QA once to be verified. Once you get go green from QA Team you can go live (publish on Prod system) for new content. In my point of view you are having two options either you can follow: 1. Create a replication agent from your Prod(live) Author to QA Publish.And Publish your newly generated pages/content. [ Mind well - while you do first time such publish disable your Prod. Publish Agents - so your not QA content will not go on Publish undesirably] And once content are QA passed re-publish them on rest of publish by re-activating respective agents. 2. Create a specific Package of newly created Webpages & content from your Prod. Auth. and import same on your QA Pub (even I recommend to import on QA Auth and from there do publish) In my point of view - I do not encourage this approach 1 rather I like to canvas more for Approach # 2 
ims-fc064180541a9bce0a4c98a5@adobeid.com,1,Reply,Will we still able to publish the same content to Live publish instance after that? I mean assuming the deactivated content change has some sort of flags which will be removed after activation is that true? If we publish the content to QA publish instance I assume that the flag will be removed and then there is no way for us to re-publish to Live Publish instance. 
ims-7f5a4a3c42075ef399201549@adobeid.com,1,Reply,If I understand correctly you are looking  pushing the content fromLive author -> QA publish for this you can just configure the replication agent on live author instance and publish only to the QA publish replication agent. you can also do a package of all the content and put that on QA publish aswell 
ims-387558cc5594f94d7f000101@adobeid.com,1,Reply,"How to do it use the replicator interface ? Shoud I must modify resource code or add new servlet to implement the replication function? like: the button name ""activate"" use this SiteAdmin.js (/libs/cq/ui/widgets/source/widgets/wcm/SiteAdmin.js) to call CommmandServlet (com.day.cq.replication.impl.servlets.CommandServlet) "
ims-6c4e42004d6d22130a04b88b@adobeid.com,1,Reply,"Hi so what's your workflow? You create content on production author then you want to replicate it to a testing system (for QA); and if it passes QA the content is then replicated to prod publishs? Why abdella t you do your QA process on the prod authoring instance using the preview functionality? (To answer your question: abdella t use reverse replication there. You can implement the above mentioned solution just using (forward) replication but then you need to have 2 ""activation"" buttons: ""Activate to QA"" and ""Activate to production"". When you need to enforce that content is first QAed and only then published to PROD you need a workflow. And if someone receives a message ""please review"" he needs to review on QA publish and accept or deny on Prod author to continue the workflow. That's not the way this process should be executed and therefor that's also not a recommended way to implement it. See my question above.) kind regards Jrg "
ims-387558cc5594f94d7f000101@adobeid.com,1,Reply,"you replying : ... just using (forward) replication but then you need to have 2 ""activation"" buttons: ""Activate to QA"" and ""Activate to production"" ... how to do it ? 2 ""activation"" buttons: ""Activate to QA"" and ""Activate to production"" How to bind the activate button to the specified replication agent ? I only konw ( agents.author --> Setting --> Agent User Id ) agent can bind to the user. "
ims-387558cc5594f94d7f000101@adobeid.com,1,Reply,Thank you very much 
ims-6c4e42004d6d22130a04b88b@adobeid.com,1,Reply,Hi the replicator interface offers a method where you can specifiy Options [1]; in the ReplicationOptions (a simple POJO) you set a Filter [2] which is called for every agent to validate if this agent is supposed be included in the replication. Here you can provide your own logic. HTH Jrg [1] https://docs.adobe.com/docs/de/aem/6-0/develop/ref/javadoc/com/day/cq/replication/Replicator.html#replicate(javax.jcr.Session com.day.cq.replication.ReplicationActionType java.lang.String com.day.cq.replication.ReplicationOptions) [2] https://docs.adobe.com/docs/de/aem/6-0/develop/ref/javadoc/com/day/cq/replication/ReplicationOptions.html#getFilter() 
ims-ebf84e8a51f0b32e0a490d4c@adobeid.com,0,AEM 6 | richtext xtype removing html element's attribute,"Hi I have a component developed in AEM 6. one of the field has richtext  xtype. The issue I'm facing is when I author this field with html data(using source aman on the page some of the HTML element attributes are getting removed. for example If I add below html code <div data-hide=""..."">some content</div> and when I veiw the source of finally rendered HTML page data-hide property is missing!! how to resolve this issue? "
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Hi abdelaziz Currently only supports the basic html tags and not custom one. Verify html serializer/processor /at libs/cq/ui/widgets/source/widgets/form/rte . This basically means that unsupported HTML that was entered will get stripped/removed.  a workaround i will suggest that you create a custom plain HTML component that is suitable for your use case and not use the Richtext. Another possibility is to create a new plugin to support such a use case. Thanks  Tweet: 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,Is the element hidden or gone - for example --if you use JQuery for example to read the element: var $dvObj = $('div.desc'); is a value returned? 
ims-d03b3c97514a82b60a490d44@adobeid.com,0,AEM Developer Tools with Eclipse Luna,Hi I have created a project with AEM developer Tools and Eclipse luna according to the steps decribed here. In the new project there is some service component page component page templates that are visible to eclipse but not  CRXDE lite or in AEM. I abdella t find that template while creating a template in specific path also. Please help. 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Have you synced the changes? If not follow Select project -> Properties-> AEM -> Export to server Note if it is window platform there is known issue & have to build latest from source till we release the patch. If it is windows & blocking let me know. 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply, The content sync issue has been fixed in the Sling IDE Tooling project and will be incorporated in the next AEM Developer Tools public release.If you'd like to build a fix yourself please follow the instructions from Sling IDE Tooling - building from source. 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply, abelman wrote...  Do you have any idea of when would be the next public release forAEM Developer Tools ?  aman will be in Q4. 
ims-d03b3c97514a82b60a490d44@adobeid.com,1,Reply,Yes .. Its windows. I have tried with export to server but didn't work. But if I create my own components and export then its working. 
ims-7f5a4a3c42075ef399201549@adobeid.com,1,Reply, Do you have any idea of when would be the next public release forAEM Developer Tools ? 
ims-9e3a403d53b3eb040a490d4c@adobeid.com,0,Ajax call,Hi How do we implement Ajax call (i.e updating page information without reloading the page) in AEM? Is it done in the similar fashion  it was done in java script or some other aem component to achieve this is used? Thanks alvorez 
ims-7f5a4a3c42075ef399201549@adobeid.com,1,Reply,You can have  ajax call on the component level in the usual way. 
ims-9b1a2c1653c921200a490d4b@adobeid.com,0,*ERROR* [OsgiInstallerImpl] Cannot register Component (java.lang.IllegalStateException: Invalid BundleContext.),"Hello experts The following error occur transiently while I start up my AEM author instance (or when I rebuild and reinstall my bundles): 21.07.2014 13:14:31.849 *INFO* [OsgiInstallerImpl] org.apache.sling.audit.osgi.installer Updated bundle com.tcm.core-bundle [324] from resource TaskResource(url=jcrinstall:/apps/training/install/core-bundle-1.0-SNAPSHOT.jar entity=bundle:com.tcm.core-bundle state=INSTALL attributes=[org.apache.sling.installer.api.tasks.ResourceTransformer=:77:16: Bundle-SymbolicName=com.tcm.core-bundle Bundle-Version=1.0.0.SNAPSHOT] digest=1405962870933) 21.07.2014 13:14:31.849 *INFO* [OsgiInstallerImpl] org.apache.sling.audit.osgi.installer Refreshing 1 bundles: [com.tcm.core-bundle [324]] 21.07.2014 13:14:31.849 *INFO* [OsgiInstallerImpl] org.apache.sling.audit.osgi.installer Waiting up to 90 seconds for bundles refresh 21.07.2014 13:14:31.858 *INFO* [FelixDispatchQueue] org.apache.felix.framework FrameworkEvent PACKAGES REFRESHED 21.07.2014 13:14:31.860 *INFO* [OsgiInstallerImpl] org.apache.sling.audit.osgi.installer Done refreshing 1 bundles 21.07.2014 13:14:31.861 *INFO* [FelixDispatchQueue] org.apache.felix.framework FrameworkEvent PACKAGES REFRESHED 21.07.2014 13:14:31.864 *INFO* [OsgiInstallerImpl] com.tcm.core-bundle BundleEvent RESOLVED 21.07.2014 13:14:31.864 *INFO* [OsgiInstallerImpl] com.tcm.core-bundle BundleEvent STARTING 21.07.2014 13:14:31.873 *ERROR* [OsgiInstallerImpl] com.tcm.core-bundle [com.tcm.core.servlets.SearchServlet] Cannot register Component (java.lang.IllegalStateException: Invalid BundleContext.) java.lang.IllegalStateException: Invalid BundleContext. at org.apache.felix.framework.BundleContextImpl.checkValidity(BundleContextImpl.java:514) at org.apache.felix.framework.BundleContextImpl.getBundle(BundleContextImpl.java:112) at org.apache.felix.scr.impl.ComponentRegistry.checkComponentName(ComponentRegistry.java:355) at org.apache.felix.scr.impl.BundleComponentActivator.loadDescriptor(BundleComponentActivator.java:240) at org.apache.felix.scr.impl.BundleComponentActivator.initialize(BundleComponentActivator.java:149) at org.apache.felix.scr.impl.BundleComponentActivator.<init>(BundleComponentActivator.java:113) at org.apache.felix.scr.impl.Activator.loadComponents(Activator.java:261) at org.apache.felix.scr.impl.Activator.bundleChanged(Activator.java:179) at org.apache.felix.framework.util.EventDispatcher.invokeBundleListenerCallback(EventDispatcher.java:868) at org.apache.felix.framework.util.EventDispatcher.fireEventImmediately(EventDispatcher.java:789) at org.apache.felix.framework.util.EventDispatcher.fireBundleEvent(EventDispatcher.java:514) at org.apache.felix.framework.Felix.fireBundleEvent(Felix.java:4385) at org.apache.felix.framework.Felix.startBundle(Felix.java:2080) at org.apache.felix.framework.BundleImpl.start(BundleImpl.java:955) at org.apache.felix.framework.BundleImpl.start(BundleImpl.java:942) at org.apache.sling.installer.core.impl.tasks.BundleStartTask.execute(BundleStartTask.java:93) at org.apache.sling.installer.core.impl.OsgiInstallerImpl.executeTasks(OsgiInstallerImpl.java:733) at org.apache.sling.installer.core.impl.OsgiInstallerImpl.run(OsgiInstallerImpl.java:247) at java.lang.Thread.run(Unknown Source) 21.07.2014 13:14:31.873 *INFO* [OsgiInstallerImpl] com.tcm.core-bundle BundleEvent STARTED 21.07.2014 13:14:31.873 *INFO* [OsgiInstallerImpl] org.apache.sling.audit.osgi.installer Started bundle com.tcm.core-bundle [324] The problem looks ""global"" in nature since the same stacktrace is across multiple components of the same bundle: 21.07.2014 13:14:31.870 *ERROR* [OsgiInstallerImpl] com.tcm.core-bundle [com.tcm.core.ReplicationLogger] Cannot register Component (java.lang.IllegalStateException: Invalid BundleContext.) java.lang.IllegalStateException: Invalid BundleContext. 21.07.2014 13:14:31.870 *ERROR* [OsgiInstallerImpl] com.tcm.core-bundle [com.tcm.core.StockDataImporter] Cannot register Component (java.lang.IllegalStateException: Invalid BundleContext.) java.lang.IllegalStateException: Invalid BundleContext. 21.07.2014 13:14:31.870 *ERROR* [OsgiInstallerImpl] com.tcm.core-bundle [com.tcm.core.components.ModifyPermissions] Cannot register Component (java.lang.IllegalStateException: Invalid BundleContext.) java.lang.IllegalStateException: Invalid BundleContext. 21.07.2014 13:14:31.870 *ERROR* [OsgiInstallerImpl] com.tcm.core-bundle [com.tcm.core.components.StockAlertProcess] Cannot register Component (java.lang.IllegalStateException: Invalid BundleContext.) java.lang.IllegalStateException: Invalid BundleContext. I'm still able to see my bundle under: http://localhost:4502/system/console/bundles I'm an AEMnewbie. Your help on the cause and resolution of the error above is much appreciated. "
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,To find parallel thread need numerous log entry just sharing leading up to the error might not help. File a daycare for further assistance. 
